廠商代號,廠商名稱,廠址,電話,傳真,登錄日期,登錄範圍,證書有效期限,版本
7M8Y065,燁輝企業股份有限公司路竹廠,82147高雄市路竹區三爺里復興路909號,07-6974428#6150,07-6974088,100/12/15,"下列項目之製造、安裝：＊大樓鋼構",106/12/14,1
7M8Y066,源鋼企業股份有限公司,高雄市小港區大業南路54號,07-8711666,07-8717293,102/08/15,"下列項目之生產、銷售：＊鋼筋混凝土用鋼筋",105/08/14,0
7MCY004,蘇氏精密工具股份有限公司,高雄市路竹區中山路1543巷31、32號,07-6973111ext502,07-6972237,088/01/19,"下列項目之生產：＊螺絲攻＊麻花鑽頭＊端銑刀系列",106/12/31,8
7S1Y002,台塑汽車貨運股份有限公司,高雄市仁武區鳳仁路304號,07-3714721,02-27124534,088/04/14,"下列項目之服務：＊汽車貨運業務兼汽車貨櫃運輸業務",106/05/31,7
7S1Y003,高雄捷運股份有限公司,高雄市前鎮區中安路1號,07-7939666 #88602,07-7939664,099/11/22,"下列項目之服務：＊捷運系統營運下列項目之服務、維護：＊捷運系統維修◎紅線車站(小港站-南岡山站)◎橘線車站(西子灣站-大寮站)◎南機廠(含行控中心)(高雄市前鎮區中安路1號)◎大寮主機廠(高雄市大寮區萬丹路129-1、129-2號)◎北機廠(高雄市橋頭區筆秀里8鄰成功北路500號)",105/11/21,1
7S3Y003,海軍左營後勤支援指揮部,高雄左營郵政第90192號信箱,07-5820072#2616,07-5824535,086/12/23,"下列項目之服務：船舶機件之檢修＊兩棲履車保修◎海軍兩棲履車保修工廠(高雄市左營郵政90217號信箱)",107/09/22,10
7S3Y004,海軍馬公後勤支援指揮部,澎湖縣馬公市案山里文山路900號,06-9214920,06-9212467,086/12/29,"下列項目之服務：船舶(艦艇)維修",107/09/22,10
7S3Y008,空軍第一後勤指揮部,屏東市勝利路350號,08-7656111#774086,08-7651064,088/03/24,"下列項目之維修服務：＊空陸用防空武器系統＊噴射飛機＊空用通信電子裝備＊電子量測儀器＊陸用雷達與導航設備下列項目之服務：＊飛機及其地面支援裝備另組件維修與配製",106/12/19,9
7S4Y001,台灣電力股份有限公司大林發電廠,高雄市小港區大林路3號,07-8711151ext213,07-8713760,086/11/26,"下列項目之生產：＊電力（火力發電）",107/09/22,8
7S4Y002,台灣電力股份有限公司高屏供電區營運處,高雄市三民區康平街192號,07-3214110,07-3129620,086/10/28,"下列項目之服務：＊供電營運",107/09/22,10
7S4Y003,台灣電力股份有限公司南部發電廠,高雄市前鎮區成功二路5號,07-3367801轉2320,07-3316387,088/07/03,"下列項目之生產：＊電力（火力發電）",106/08/22,10
7S4Y007,台灣電力股份有限公司澎湖區營業處,澎湖縣馬公市西文里西文澳120號,06-9213111ext130,06-9215334,088/11/09,"下列項目之服務：＊供售電服務下列項目之生產：＊電力(火力發電)--離島七美、望安、虎井機組",106/11/13,10
7S4Y016,台灣電力股份有限公司屏東區營業處,屏東縣屏東市忠孝路329號,08-7322111轉205,08-7661040,092/12/29,"下列項目之服務：＊供售電服務",107/08/25,6
7S4Y028,台灣電力股份有限公司金門區營業處,金門縣金城鎮民生路70號,082-325506#1217,082-324635,094/01/11,"下列項目之服務：＊供售電服務",106/12/21,6
7S4Y030,台灣電力股份有限公司尖山發電廠,澎湖縣湖西鄉尖山村29-2號,06-9920660#2203,06-9920670,095/11/30,"下列項目之生產：＊電力（火力發電）",107/09/22,4
7S4Y031,台灣電力股份有限公司高屏發電廠,高雄市美濃區獅山里竹門20號,027-6851079 #22,07-6852335,095/12/28,"下列項目之生產：＊電力（水力發電）--六龜機組",107/09/22,4
7S5Y004,台灣中油股份有限公司油品行銷事業部高雄營業處,高雄市成功二路15號,07-3372266,07-3301192,085/07/25,"下列項目之服務：＊油品之營運、儲存及銷售",106/07/31,15
7S5Y008,臺灣菸酒股份有限公司高雄營業處,高雄市文橫二路113號,07-3336252ext436,07-3356289,089/10/09,"下列項目之服務：＊菸酒之批發＊菸酒之零售",107/09/22,8
7S7Y001,台灣電力股份有限公司高雄訓練中心,高雄市大寮區大發工業區華西路41號,07-7872201#1106,07-7872206,088/07/16,"下列項目之服務：＊電力事業技術養成訓練＊台電公司在職訓練＊公民營機關委辦訓練",106/08/31,7
7S7Y002,台灣電力股份有限公司輸變電工程處南區施工處,高雄市旗楠路67號,07-3572171,07-3572198,089/02/24,"下列項目之服務：＊輸變電系統相關工程之設計、監造、施工",107/03/23,9
7S7Y005,鴻德生命事業股份有限公司,83341高雄市鳥松區本館路320號-21,07-2111023,,101/05/22,"下列項目之服務：＊殯儀",107/05/21,1
7TBY002,秉伸興業股份有限公司,高雄市大寮區大仁街80號,07-7832096,07-7827597,085/12/04,"下列項目之生產：＊裝飾耐火板彎曲檯面＊組合櫥櫃下列項目之設計、生產：＊木質防火門",106/07/11,9
7TBY004,樂聯工業股份有限公司,屏東縣枋寮鄉東海村精進路37號,08-8669966#61,08-8669545,086/02/24,"下列項目之設計、生產：＊鋼製辦公椅＊鋼製公文櫃＊鋼製辦公桌＊鋼製檔案櫃＊鋼製活動櫃＊鋼製衣櫃＊鋼製電腦桌＊鋼製理想櫃",107/04/14,8
7TBY005,祥業工業股份有限公司,高雄市大寮區(大發工業區)華東路32號,(07)7872120,(07)7872170,087/08/05,"下列項目之設計、開發、生產：＊金屬暨塑膠類辦公、家用、商用、公共空間之桌椅＊鋼製辦公椅",105/12/27,8
7X0Y005,南亞塑膠工業股份有限公司仁武廠,高雄市仁武區水管路101號,07-3711411,07-3716411,083/11/08,"下列項目之生產：＊色餅＊印貼壓膠布＊聚氯乙烯軟質膠布＊膠合劑＊聚氯乙烯塑膠粒＊聚氯乙烯粘著劑＊防焰壁紙＊防焰印壓建材膠布◎南亞塑膠工業股份有限公司林園廠(高雄市林園區溪洲里工業一路6號)",107/09/22,11
7X0Y017,君牧塑膠科技股份有限公司,高雄市鳥松區美山路43號,07-7311223,07-7311493,085/09/16,"下列項目之生產：＊空氣濾清器組合＊標誌＊汽機車零組件:配重滾子下列項目之設計、生產：＊塑膠射出成型製品",106/06/26,10
7X0Y023,吉申實業股份有限公司高雄廠,高雄市彌陀區鹽埕里產業路190號,07-6196820,07-6197301,087/08/20,"下列項目之生產：＊飲水(自來水)用聚氯乙烯塑膠硬質管接頭配件",105/09/06,7
7X0Y029,樺塑企業股份有限公司,高雄市仁武區水管路97號,07-3717177,07-3715983,088/07/16,"下列項目之設計、生產：＊IC包裝盤＊IC包裝帶＊塑膠模具下列項目之生產：＊連結器＊塑膠成型零件＊電子及半導體相關之塑膠包材，零件◎樺塑企業股份有限公司三廠(高雄市仁武區工業一路1號)",106/09/21,8
7X0Y032,柏愷企業股份有限公司,高雄市仁武區竹後里竹工一巷17號,07-3717177,07-3715983,098/12/25,"下列項目之回收、清理、銷售：＊IC包裝盤",107/09/22,2
7X9Y003,台灣愛生雅股份有限公司高雄廠,高雄市永安區維新里光明三巷2號,(07)6912711#651,(07)6912565,084/12/28,"下列項目之生產：＊嬰兒紙尿褲＊成人紙尿褲",106/02/08,9
7X9Y005,永豐餘工業用紙股份有限公司高雄廠,高雄市阿蓮區阿蓮里永豐路21號,07-6317181,07-6319443,085/02/07,"下列項目之設計、生產：＊瓦楞紙板＊瓦楞紙箱",106/10/31,10
7X9Y006,榮成紙業股份有限公司路竹廠,高雄市路竹區中山南路100之1號,07-6968111,07-6968110,085/07/17,"下列項目之生產：＊瓦楞紙板＊瓦楞紙箱",106/09/04,8
7X9Y007,長春人造樹脂廠股份有限公司大發廠,高雄市大寮區華西路8號,07-787-2654,07-787-2408,085/10/03,"下列項目之生產：＊丙酮＊丙二酚＊酚＊絕緣紙＊玻璃纖維＊蒸汽＊環氧樹脂下列項目之設計、生產：＊瞬間接著劑◎長春人造樹脂廠股份有限公司大發二廠(高雄市大寮區華西路6號)",107/02/05,12
7X9Y009,鶴壽瓦楞紙器股份有限公司永安廠,高雄市永安區維新里永工五路5、6號,07-6216182,07-6220489,086/02/20,"下列項目之生產：＊外裝瓦楞紙箱(單層)＊外裝瓦楞紙箱(雙層)",107/04/05,9
7XBY001,三戶保溫材料廠股份有限公司高雄廠,高雄市大寮區過溪里華一街525號,07-3312529,07-3313198,086/01/03,"下列項目之生產：＊真珠岩保溫管＊真珠岩保溫板＊隔熱填充用真珠岩粉",107/07/26,9
7XDY003,環球水泥股份有限公司阿蓮廠,高雄市阿蓮區崗山里崗山95-2號,(07)6312111,(07)6312117,084/10/02,"下列項目之生產：＊卜特蘭水泥第I型(袋裝，散裝)",105/11/13,9
7XDY006,東南水泥股份有限公司,高雄市楠梓區高楠公路屏山巷1號,07-3421333,07-3425343,085/05/27,"下列項目之生產：＊卜特蘭水泥＊混凝土及水泥砂漿用水淬高爐爐碴粉",106/07/25,9
7XDY007,中美水泥製品股份有限公司,高雄市鳳山區建國路1段416號,07-7436051,07-7413760,085/09/16,"下列項目之生產：＊透水磚＊高壓混凝土連鎖地磚＊植草磚＊緣石＊圍牆磚＊空心磚",106/10/20,9
7XDY008,艾鎂企業股份有限公司高雄廠,高雄市美濃區自強街1段533號,(07)6817115,(07)6818733,085/09/05,"下列項目之生產：＊高壓混凝土地磚＊透水磚＊緣石(界石)＊藝術平板磚＊洗石子地磚＊天然石平板磚＊仿古磚(仿木紋及岩面)",106/07/31,10
7XDY010,中聯資源股份有限公司,高雄市前鎮區成功二路88號22樓,07-3368377#667,07-3368433,085/11/19,"下列項目之設計、開發、生產：＊高爐爐石粉末(地質改良劑)＊氣冷高爐石粒料＊氣冷轉爐石粒料＊爐石粉末建築材料(磁磚、輕隔間專用料)＊有害事業廢棄物之中間處理＊蛇紋石料粒＊卜特蘭高爐水泥(散裝、袋裝)＊混凝土及水泥墁料用水淬高爐渣粉(散裝、袋裝)＊爐石粉末建築材料(飛灰爐石粉(散裝))下列項目之生產：＊鋁錠◎臨海廠(高雄市小港區沿海三路友成巷2號)◎高雄廠(高雄市小港區朝興路2號)◎固化廠(高雄市小港區山明里朝興路2號)◎苗栗廠(苗栗縣銅鑼鄉中平村忠興街6號)◎台中廠(台中市龍井區麗水里南堤路2號)◎利昌廠(高雄市小港區山明里利昌街1號)◎大發廠(高雄市大寮區潮寮里田單二街11號)◎南堤廠(臺中市龍井區麗水里南堤路2號)◎沿海廠(高雄市小港區沿海三路36號)",106/12/31,13
7XDY012,振農水泥製品股份有限公司高雄第一廠,高雄市岡山區嘉新東路90號,07-6219161,07-6216989,087/07/17,"下列項目之生產：＊下水道用鋼筋混凝土管(推進施工法用)＊混凝土管＊離心法先拉式預力混凝土基椿、版椿＊鋼筋混凝土環片＊電信用離心法製預力混凝土電桿＊鋼襯預力混凝土管",106/01/03,8
7XEY015,聯成化學科技股份有限公司林園廠,高雄市林園區工業二路3號,07-6413501#730,07-6421087,083/12/06,"下列項目之生產：＊塑膠增韌劑＊酸酐＊反丁烯二酸＊脂肪酸酯＊環氧樹脂",107/09/22,13
7XEY020,台灣中油股份有限公司煉製事業部高雄煉油廠,高雄市左楠路2號,07-5824141,07-5855178,084/04/10,"下列項目之生產：車用汽油(高級汽油、95無鉛、92無鉛)航空燃油(JP-4,JP-5,JET-A1)煤油柴油(普通柴油、高級柴油、海運柴油)燃料油(高硫燃料油、低硫燃料油)柏油苯(硝化級)甲苯(硝化級)液化石油氣(車用液化石油氣、工業用丙烷、丁烷)二甲苯(硝化級)＊硫磺乙烯丙烯丁二烯乙炔碳煙進料油＊一氧化碳＊氫氣潤滑油下列項目之服務：位於橋頭.豐德及民雄供油服務中心之車用柴油潤滑性添加劑之添加作業",105/11/14,12
7XEY021,台灣中油股份有限公司煉製事業部大林煉油廠,高雄市小港區沿海四路50號,07-8715151ext7246,07-8712142,084/04/10,"下列項目之生產：車用無鉛汽油航空燃油柴油液化石油氣燃料油煤油丙烯＊氫氣＊硫磺下列項目之服務：位於高雄煉油廠&#63843;區儲運課及半屏山儲運課之品保相關業務(補英文範圍用)位於台中、湖西、花蓮、蘇澳、橋頭、民雄、豐德供油服務中心及金馬行銷中心之車用柴油潤滑性添加劑之添加作業",105/11/21,16
7XEY022,台灣中油股份有限公司石化事業部,高雄市林園區石化二路3號,07-6413701,07-6413701#8026,084/04/01,"下列項目之生產：甲苯(硝化級)對二甲苯苯(硝化級)鄰二甲苯LPG液化石油氣及其他副產品乙烯丙烯丁二烯",105/09/19,12
7XEY023,台灣中油股份有限公司天然氣事業部永安液化天然氣廠,高雄市永安區新興路1之20號,07-6911131ext331,07-6913790,084/05/31,"下列項目之生產：＊天然氣",105/12/30,10
7XEY027,勝一化工股份有限公司,高雄市永安區永工一路5號,(07)6219171EXT500,(07)6222620,085/01/06,"下列項目之服務：＊液體儲槽租賃服務：＊各種有機溶劑和有機酸進出口儲存及買賣業務下列項目之生產：＊甲醛系列(福馬林、醇醛混合物、尿素甲醛樹脂、美耐皿甲醛樹脂、硬化劑)＊工業級有機溶劑(醋酸酯類、醚醇酯類、醚醇類)和電子級各種有機溶劑、有機酸◎前鎮廠(高雄市前鎮區立業街2號)◎永安二廠(高雄市永安區永工一路18號)",106/05/31,9
7XEY030,信昌化學工業股份有限公司林園廠,高雄市林園區溪州里工業三路9號,07-6431247#305.306,07-6425426,085/08/22,"下列項目之生產：＊丙酮＊異丙苯＊酚＊馬林酐＊丙二酚＊環己酮",106/10/31,11
7XEY038,中國石油化學工業開發股份有限公司小港廠,高雄市小港區中林路34號,07-871161,07-8715487,086/11/03,"下列項目之生產：＊硫酸＊硫酸銨(肥料級)＊己內醯胺",107/09/22,9
7XEY041,良發保溫材料股份有限公司,高雄市高雄加工出口區南一路2號,07-8316153,07-8413193,087/03/30,"下列項目之生產：＊聚胺基甲酸乙脂硬質發泡體(支撐鞍座，管狀支架)＊聚乙烯發泡泡棉＊聚異氰酸鹽發泡泡棉(支撐鞍座，管狀支架)",105/08/15,8
7XEY047,長潤工業股份有限公司,高雄市燕巢區角宿里四林路124號,07-3865681,07-3844856,085/06/15,"下列項目之生產：＊飽和聚酯樹脂＊醇酸縮合樹脂＊不飽和聚酯樹脂＊壓克力樹脂＊環氧酯樹脂",106/08/31,9
7XFY003,柏林股份有限公司,高雄市小港區大業南路43號,07-8711101ext1800,07-8716583,084/12/28,"下列項目之設計、開發、生產、服務：＊重抗蝕塗料＊特殊塗料下列項目之生產、服務：＊工程塑膠塗料＊核能塗料",106/02/08,8
7XFY004,煜盛股份有限公司,高雄市永安區永工九路6號,07-6227733,07-6227719,085/03/11,"下列項目之生產：＊滑石粉＊路線漆＊碳酸鈣＊細鋁礦粉",106/05/03,9
7XFY006,永記造漆工業股份有限公司,高雄市沿海三路26號,07-8713181,07-8715443,085/12/24,"下列項目之設計、開發、生產、塗裝技術服務：＊建築塗料,重防蝕塗料,船舶塗料,防火塗料,特殊塗料,彩罐與彩鋼塗料下列項目之設計、開發、塗裝技術服務：＊水泥混合型防火材料下列項目之生產、塗裝技術服務：＊核能塗料",106/05/12,10
7XFY008,東亞油漆股份有限公司,高雄市仁武區仁心路260號,07-3712301,07-3721009,086/09/26,"下列項目之生產：＊工業防蝕塗料＊鋼構防蝕塗料＊船舶塗料＊建築塗料＊特殊塗料",107/09/22,7
7XWY003,大直橡膠工業股份有限公司,高雄市大寮區大寮里興業路33號,07-3810878,07-3819077,087/08/12,"下列項目之生產：＊自來水管件用橡膠製品＊橡膠板＊橡膠迫緊＊O型環",105/09/30,7
8A0Y021,DAIKIN INDUSTRIES (THAILAND) LIMITED,"700/11 AMATA NAKORN INDUSTRIAL ESTATE, BANGNA-TRAD RD., KM 57, TAMBOL KLONGTAMRU",(038)213-032,(038)213-345,092/05/21,"下列項目之設計、開發、製造：＊空調產品及供其使用之零件包括壓縮機",107/03/30,7
8A0Y022,"LG ELECTRONICS (泰國廠) CO., LTD.","192 MOO. 1, PLUAKDAENG ROAD, TAMBON TASITH, AMPUR PLUAKDAENG, RAYONG 21140 THAILAND",-1237,,092/09/26,"下列項目之設計、開發、生產、服務：＊電動洗衣機＊冷氣機",106/10/19,5
8A0Y026,"TOSHIBA CARRIER (THAILAND) CO., LTD.","144/9 MOO 5, BANGKADI INDUSTRIAL PARK, TIVANON ROAD, TAMBOL BANGKADI, AMPHUR MUA",66-2-5011390,66-2-5011420,093/01/19,"下列項目之設計、開發、生產：＊冷氣機",106/01/27,4
8A0Y029,"THAI SAMSUNG ELECTRONICS CO., LTD.",313 MOO 1 SUKHAPHIBAN 8 ROAD SRIRACHA CHONBURI 20230 THAILAND,,,093/08/17,"下列項目之生產：＊電腦螢幕顯示器＊彩色電視接收器＊洗衣機＊微波爐＊電冰箱＊冷氣機",106/09/08,6
8A0Y038,三菱電機   機器株式會社,日本國琦玉縣深谷市小前田1728-1,-7943,-7943,095/03/20,"下列項目之設計、開發、製造、服務：＊DISHWASHER＊DEHUMIDIFIERS",107/01/09,6
8A0Y039,松下電器產業株式會社AP科技事業公司家電經營集團廚房器具經營單位神戶據點,日本兵庫縣神戶市西區高塚台1丁目5番1號,+81-78-992 9476,+81-78-992 9494,096/01/29,"下列項目之設計、開發、製造：＊電子烹調電器＊磁控管＊IH調理爐＊自動洗碗機＊IH烹調器具下列項目之設計、開發：＊IH電子鍋下列項目之製造：＊微波爐下列項目之ODM管理：＊抽油煙機◎廚房器具事業部加東據點(日本兵庫縣加東市佐保5番)◎廚房器具事業部草津據點(日本滋賀縣草津市野路東2丁目3番1-1號)",107/04/09,6
8A0Y042,東部大宇電子股份有限公司,中國天津市濱海新區大港開發區,022-6325-1383,022-6325-1383,099/04/29,"下列項目之設計、製造：＊微波爐＊電冰箱＊洗衣機◎東部大宇電子(天津)有限公司(中國天津市濱海新區大港開發區)◎東部大宇微波爐(天津)有限公司(中國天津市濱海新區大港開發區)",105/11/17,2
8A3Y009,聯明電業塑膠製品有限公司,中國廣東省惠州市惠陽區鎮隆鎮甘陂大龍坑,00852-23284219 ex200,86-755-28680819,093/06/02,"下列項目之設計、生產：＊電線＊電纜＊電源線◎惠州信興榮電業塑膠有限公司(中國廣東省惠州市惠陽區鎮隆鎮甘陂大龍坑)",106/06/30,6
8A3Y011,東莞永力電業有限公司,中國廣東省東莞市常平鎮崗梓大埔工業區,,,094/05/04,"下列項目之製造：＊電線電纜＊電源線",106/02/21,3
8A3Y020,萊尼電氣線纜(中國)有限公司,中國江蘇省常州市新北區長江北路6號,860519851-39821,,097/10/24,"下列項目之設計、製造、銷售：＊電線組件＊電線＊線束＊卷線盤＊電源線◎中國江蘇省常州市新北區府田工業園漢江西路109號(中國江蘇省常州市新北區府田工業園漢江西路109號)",106/02/09,2
8A6Y002,富士電機機器制御株式會社吹上工廠,日本國埼玉縣鴻巢市南1-5-45,81-48-547-1149,81-48-548-6307,093/04/06,"下列項目之設計、開發、生產、運輸相關活動：＊馬達啟動器＊迴路保護器＊工業控制繼電器＊可程式控制器及週邊設備＊高壓斷路器＊高壓開關＊保險絲＊能源管理設備＊電磁開關＊電子設備＊工業自動化感知器＊控制器具＊無熔線斷路器＊漏電斷路器＊瓦斯檢知器＊瓦斯流量控制器＊無線與有線設備＊延時型繼電器＊計數器◎大田原工廠(日本國朸木縣大田原市中田原1043番地)",107/03/20,7
8E1Y023,"PIONEER MANUFACTURING (THAILAND) CO., LTD.","ROJANA INDUSTRIAL PARK, 1/31 MOO 5 TAMBOL KANHAM, AMPHUR U-THAI, PRANAKORNSRI-AYUTTHAYA 13210, THAILAND",33-(0)35226160-611,,095/09/22,"下列項目之設計、開發、製造：＊音響相關產品及配件＊導航系統相關產品及配件◎OEM SALES DEPARTMENT(719 20TH FLOOR, KPN TOWER, RAMA-9 ROAD BANGKAPI, H)",107/05/12,4
8E1Y026,FUJITSU TEN MANUFACTURING LIMITED OYAMA PLANT,"91 OAZA-NISHIKURODA, OYAMA-SHI TOCHIGI 329-0203, JAPAN",81-28541-1221,81-28545-8066,097/04/17,"下列項目之設計、開發、製造：＊汽車音響/汽車影音設備＊汽車導航系統及輔助設備",107/04/01,5
8E1Y028,SAMSUNG ELECTRONICS DISPLAY (M) SDN. BHD.,"(HSD) 69244, NO. P.T. 12692, MUKIM AMPANGAN TUANKU JAAFAR INDUSTRIAL PARK, 71450 SEREMBAN, NEGERI SEMBILAN DARUL KHUSUS , MALAYSIA",606-6703344,606-6703447,099/08/17,"下列項目之製造：＊LIQUID CRYSTAL MODULE＊SET TOP BOX＊COLOR MONITORS, TELEVISIONS",107/08/20,4
8E2Y005,FUJITSU TEN LIMITED,"2-28 GOSHO-DORI, 1-CHOME, HYOGO-KU, KOBE-SHI, HYOGO 652-8510, JAPAN",-2710,-5993,095/06/16,"下列項目之設計、開發、製造：＊HOUSEHOLD AUDIO EQUIPMENT AND LAND MOBILE COMMUNICATION SYSTEMS＊CAR AUDIO/VISUAL EQUIPMENT＊CAR NAVIGATION SYSTEM＊SENSORS AND CONTRAL MODULES FOR AUTOMOBILE◎FUJITSU TEN MANUFACTURING LMITED NAKATSUGAWA PLAN(2110 NAEGI, NAKATSUGAWA-SHI, GIFU, 508-0101 JAPAN)",106/10/19,5
8E2Y009,富士通天電子(無錫)有限公司,中國江蘇省無錫市高新技術產業開發區新華路19號,0510-88662233,0510-88662299,101/11/26,"下列項目之設計、製造：＊影音設備＊導航系統",107/04/14,1
8EAY003,夏普辦公設備(常熟)有限公司,中國江蘇省常熟市沿江經濟開發區黃河路272號,86-512-52859929,86-512-52856747,092/12/03,"下列項目之設計、開發、製造、服務支援：＊印表機＊影印機＊相關設備之周邊配件＊多功能系統設備(包含影印、列印、傳真、掃瞄等功能)下列項目之製造：＊LCD螢幕與配件",107/02/06,7
8M8Y002,聚亨企業集團（泰國）大眾有限公司,"99 MOO 1,TUMBON NIKOMPATTANA AMPHUR ,NIKOMPATTANA, RAYONG 21180 THAILAND",038-636800-21Ext.121,038-636-822,097/02/05,"下列項目之製造：＊低合金鋼及碳鋼之線材盤元及條鋼盤元＊建築用鋼筋：鋼筋及圓棒＊扣件：螺絲，螺栓及牙條＊線材：球化線材及冷抽線材",105/11/08,2
8T4Y003,SINORA SDN. BHD.,"KM 11, JALAN SINORA, BATU SAPI, W.D.T. 79, 90009 SANDAKAN, SABAH, MALAYSIA",089-612033,089-611752,097/02/05,"下列項目之製造：＊合板及板片",107/09/14,3
8T4Y004,FORESCOM PLYWOOD SDN. BHD.,"LOT 430, BLOCK 38, KEMENA INDUSTRIAL ESTATE, 97010 BINTULU, SARAWAK, MALAYSIA",6-086-314199,6-086-314299,097/09/04,"下列項目之製造：＊PLYWOOD AND VENEERS",106/01/17,4
8T4Y005,ZEDTEE PLYWOOD SDN. BHD.,"LOT 555, BLOCK 22, BUAN LAND DISTRICT, TATAU, 97008 BINTULU, SARAWAK, MALAYSIA",086-584778,086-584780,097/09/05,"下列項目之製造：＊PLYWOOD AND VENEERS",106/10/07,3
8T4Y006,SHIN YANG PLYWOOD (BINTULU) SDN. BHD.,"LOT 813, BLOCK 38, KEMENA INDUSTRIAL ESTATE, 97010 BINTULU, SARAWAK, MALAYSIA",086-313399,086-312299,097/09/23,"下列項目之製造：＊PLYWOOD, VENEERS AND URETHANE COATED PLYWOOD (UCP)",106/08/08,3
8X0Y002,越南隆輝實業有限公司,越南平陽省宜安縣神浪Ⅱ工業區DT743路23號,06-2728270,06-2721581,092/09/29,"下列項目之生產、服務：＊騎乘機車用安全帽＊騎乘車輛人員用眼睛防護具◎2廠(越南平陽省順安縣安富社1B段)",107/09/22,6
8XDY002,A & A OSAKA CORPORATION,"25-3, IMASHIRO-CHO, TAKATSUKI CITY, OSAKA PREFECTURE, JAPAN",02-26410072,02-26410073,094/01/17,"下列項目之生產：＊纖維水泥板＊纖維石膏板＊矽酸鈣板",106/01/03,5
8XDY004,HUME CEMBOARD INDUSTRIES SDN. BHD. (IPOH),"LOT 127220, KAWASAN PERUSAHAAN KANTHAN, 31200 CHEMOR, PERAK DARUL RIDZUAN, MALAYSIA",605-2013688,605-2013628,098/06/01,"下列項目之MANUFACTURE、SUPPORT PROCESSES：＊PLAIN AND PATTERNED FIBRE CEMENT FLAT SHEETS下列項目之MANAGEMENT、SALES：＊PLAIN AND PATTERNED FIBRE CEMENT FLAT SHEETS◎HUME CEMBOARD INDUSTRIES SDN. BHD. (IPOH) SITE 2(NO.12, JALAN TANDANG, 46700 PETALING JAYA, SELANGOR DARUL EHSAN, MALAYSIA)",107/03/20,3
3SCE001,台灣電力股份有限公司綜合施工處,台北市文山區景隆街22號,02-29340505#481,02-29343635,096/10/09,"(廠商選擇不公布)",105/10/08,2
1S4E001,和平電力股份有限公司,花蓮縣秀林鄉和平村和工二路7號,03-8681900轉1410,03-8681910,093/10/04,"下列項目之生產：＊電力下列項目之輸電：＊和平發電廠至冬山超高壓變電所間",105/11/24,5
1S4E002,台灣電力股份有限公司台東區營業處,台東市正氣路38號,089-322481,089-322464,094/05/13,"下列項目之服務：＊供、售電(含二次變電所及服務所)",106/04/14,4
1S4E003,台灣電力股份有限公司東部發電廠,花蓮縣花蓮市自由街136號,03-8350161#315,03-8355981,095/01/26,"下列項目之生產：＊電力(水力發電)",106/03/29,3
1S4E004,台灣電力股份有限公司輸供電事業部花東供電區營運處,花蓮縣新城鄉嘉新村嘉南一街1號,03-8230023~209,03-8230014,095/12/28,"下列項目之服務：＊供電營運(345、161、69千伏特)",107/09/14,4
1S4E005,台灣電力股份有限公司花蓮區營業處,花蓮縣花蓮市中山路238號,03-8324101-370,03-8322011,097/06/05,"下列項目之服務：＊供售電服務",106/06/04,2
1S5E002,台灣中油股份有限公司油品行銷事業部東區營業處,花蓮市東興路285號,03-8221101,03-8225974,088/06/10,"下列項目之服務：＊石油製品之銷售及營運◎花蓮供油服務中心(北埔庫區)(花蓮縣新城鄉佳林村103之1號)◎花蓮供油服務中心(花蓮庫區)(花蓮市吉林路2號)◎蘇澳供油服務中心(蘇澳庫區)(宜蘭縣蘇澳鎮永春路299號)◎台東運輸服務中心(台東市中興路2段23號)",106/09/30,9
1XDE002,台灣水泥股份有限公司花蓮廠(含預拌混凝土工場),花蓮市民孝里華東103號,03-8221161,03-8223077,089/01/06,"下列項目之生產：＊預拌混凝土＊卜特蘭水泥",106/07/19,7
1XDE003,台灣水泥股份有限公司和平分公司和平廠,花蓮縣秀林鄉和平村和平路263號,03-8682111,03-8682006,092/09/18,"下列項目之生產：＊卜特蘭水泥及熟料下列項目之採掘：＊石灰礦◎寶來礦區(花蓮縣秀林鄉克來寶南方地方)◎和平礦區(花蓮縣秀林鄉奇能甫和平地方)",107/09/14,5
2S4E001,台灣電力股份有限公司宜蘭區營業處,宜蘭市舊城西路111號,03-9354800,03-9362706,094/10/05,"下列項目之服務：＊供售電服務",106/10/05,3
2S4E002,台灣電力股份有限公司基隆區營業處,基隆市仁一路301號,02-24231156,02-24260236,096/08/15,"下列項目之服務：＊供售電◎電務大樓(基隆市仁二路134號)",105/08/14,2
2S4E003,台灣電力股份有限公司馬祖區營業處,連江縣南竿鄉介壽村259號,083-626300#105,083-625222,097/01/21,"下列項目之服務：＊供售電服務",105/12/21,2
2S4E005,台灣電力股份有限公司協和發電廠,基隆市中山區文化路80號,02-24248111#321,02-24260450,097/10/01,"下列項目之生產：＊電力(火力發電)",106/09/30,2
2S5E002,台灣中油股份有限公司油品行銷事業部基隆營業處,基隆市成功一路107號,02-24331155-260,02-24321204,088/03/08,"下列項目之石油產品銷售、儲運：＊石門供油服務中心八堵庫區＊基隆供油服務中心＊石門供油服務中心(含化驗中心)下列項目之石油產品銷售：＊基隆儲運處辦公大樓",106/05/18,12
